"","id","data_format","cases","access","file_name","submitter_id","data_category","type","platform","file_size","created_datetime","md5sum","updated_datetime","file_id","data_type","state","experimental_strategy","version","data_release","project","analysis_id","analysis_state","analysis_submitter_id","analysis_workflow_link","analysis_workflow_type","analysis_workflow_version","sample_type","is_ffpe","cases.submitter_id","sample.submitter_id"
"23","1f9a9190-4157-457e-9794-a9217d2aa2f8","TSV","TCGA-E2-A14S-01A-11R-A12D-07","open","cf4160bb-9ef4-43c1-ac83-f6ca897101ee.rna_seq.augmented_star_gene_counts.tsv","35e9a0b5-6f1e-445f-b175-90a20713b9bc","Transcriptome Profiling","gene_expression","Illumina",4248776,"2021-12-13T22:22:11.918419-06:00","a64d7559982aa695e38e6ba5b64b3b44","2024-07-30T09:41:51.188515-05:00","1f9a9190-4157-457e-9794-a9217d2aa2f8","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","c8b47e06-a1c1-43d3-b4bd-857ed6ade023","released","cf4160bb-9ef4-43c1-ac83-f6ca897101ee_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-E2-A14S","TCGA-E2-A14S-01A"
"25","c15e9ead-0373-486e-a99b-26b96bd3ccc4","TSV","TCGA-EW-A1P8-01A-11R-A144-07","open","27c65ed6-9e9d-4a9d-9b6f-76d2a12f7699.rna_seq.augmented_star_gene_counts.tsv","cc1ab19e-2031-417a-afaa-3cf8b1171e93","Transcriptome Profiling","gene_expression","Illumina",4242237,"2021-12-13T21:47:31.260633-06:00","8ae59809488a8121e4706c1abcfbd072","2024-07-30T09:33:21.544390-05:00","c15e9ead-0373-486e-a99b-26b96bd3ccc4","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","b6358295-3831-4e56-8c20-29a8b7ac2d7c","released","27c65ed6-9e9d-4a9d-9b6f-76d2a12f7699_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-EW-A1P8","TCGA-EW-A1P8-01A"
"28","2faa9332-e577-4884-94e4-b895827db8b6","TSV","TCGA-C8-A12Q-01A-11R-A115-07","open","8b5be676-9118-4038-9d54-6b80b14e43dc.rna_seq.augmented_star_gene_counts.tsv","5cd29aae-4e39-41b0-a516-55cbf9c3630d","Transcriptome Profiling","gene_expression","Illumina",4249339,"2021-12-13T21:46:44.160709-06:00","f7127c72f9c82b7b0d1275f7f692daad","2024-07-30T10:04:09.264162-05:00","2faa9332-e577-4884-94e4-b895827db8b6","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","facd6169-dc42-46d1-b611-308e39491086","released","8b5be676-9118-4038-9d54-6b80b14e43dc_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-C8-A12Q","TCGA-C8-A12Q-01A"
"31","56209bc1-f94b-4aa4-a9dd-757003f36fd2","TSV","TCGA-B6-A0WY-01A-11R-A109-07","open","2ae456c7-57fa-4146-9b29-2d4129f0cf7c.rna_seq.augmented_star_gene_counts.tsv","74c0b606-767f-4079-a967-9175f0368b6c","Transcriptome Profiling","gene_expression","Illumina",4247625,"2021-12-13T22:15:43.858218-06:00","52a0419513d42b3c601d7054d8663121","2024-07-30T09:56:09.916151-05:00","56209bc1-f94b-4aa4-a9dd-757003f36fd2","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","5931d0c2-1112-4bcb-a299-ae340920f528","released","2ae456c7-57fa-4146-9b29-2d4129f0cf7c_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-B6-A0WY","TCGA-B6-A0WY-01A"
"32","064215bd-9ec9-4a16-8ea2-9c6604156398","TSV","TCGA-E2-A15S-01A-11R-A115-07","open","af83a9af-a11f-4c29-a61f-8f0d2b5868c1.rna_seq.augmented_star_gene_counts.tsv","91b409bb-bbf8-43c9-b2a1-f8cf58c6e4f7","Transcriptome Profiling","gene_expression","Illumina",4253697,"2021-12-13T21:51:15.305363-06:00","bfffdb8c2737fa2b2330fd7c474088fe","2024-07-30T09:58:29.494355-05:00","064215bd-9ec9-4a16-8ea2-9c6604156398","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","44253232-3897-4aa9-8a9b-4a3986c0f664","released","af83a9af-a11f-4c29-a61f-8f0d2b5868c1_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-E2-A15S","TCGA-E2-A15S-01A"
"33","6df72103-ccfb-4a53-b839-2e8c47ec2145","TSV","TCGA-B6-A0RO-01A-22R-A084-07","open","b4e60c29-6c4d-49b4-878e-b91e20e17dad.rna_seq.augmented_star_gene_counts.tsv","d7f6521a-6582-4966-a563-e13a3bf19113","Transcriptome Profiling","gene_expression","Illumina",4241282,"2021-12-13T21:47:28.364570-06:00","9716aad1296de30b453de82c415c5319","2024-07-30T09:25:37.623997-05:00","6df72103-ccfb-4a53-b839-2e8c47ec2145","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","407cc358-1116-4149-9936-2493814eca97","released","b4e60c29-6c4d-49b4-878e-b91e20e17dad_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-B6-A0RO","TCGA-B6-A0RO-01A"
"34","c3b9e954-9acd-481d-b6d1-86db1e62d037","TSV","TCGA-E9-A1N6-01A-11R-A144-07","open","c0285709-159c-46dd-8bd8-50fad06513dd.rna_seq.augmented_star_gene_counts.tsv","757fa003-4b90-4eca-908b-230dc7965409","Transcriptome Profiling","gene_expression","Illumina",4232411,"2021-12-13T22:18:11.197205-06:00","cc3b27e01805c24b0161bf15802b7a07","2024-07-30T09:30:34.487987-05:00","c3b9e954-9acd-481d-b6d1-86db1e62d037","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","00bce768-e32f-451c-b41e-f8e74a0f4428","released","c0285709-159c-46dd-8bd8-50fad06513dd_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-E9-A1N6","TCGA-E9-A1N6-01A"
"36","be386ce9-a12f-4c16-80ba-a5d47d5b374e","TSV","TCGA-E2-A1LB-11A-22R-A144-07","open","13daffbb-aa53-44f9-a6ed-5fd43ed37471.rna_seq.augmented_star_gene_counts.tsv","7677705c-4297-419e-8547-f2eb5b2cd3ea","Transcriptome Profiling","gene_expression","Illumina",4246188,"2021-12-13T22:26:25.396857-06:00","f1186dfb90ed4942b330147c414b790f","2024-07-30T09:48:34.390201-05:00","be386ce9-a12f-4c16-80ba-a5d47d5b374e","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","36dfa248-60b0-4a65-80b9-a852870dd8d0","released","13daffbb-aa53-44f9-a6ed-5fd43ed37471_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Solid Tissue Normal",NA,"TCGA-E2-A1LB","TCGA-E2-A1LB-11A"
"37","cf53cdad-a323-475e-a84a-87b68d13e262","TSV","TCGA-E2-A15I-01A-21R-A137-07","open","37d359b3-d8f5-44cf-8f30-57dfdbbab8c1.rna_seq.augmented_star_gene_counts.tsv","63e4e9d1-ff3e-403e-87ed-5026c80cf2f0","Transcriptome Profiling","gene_expression","Illumina",4252356,"2021-12-13T22:23:57.187501-06:00","9d6830c4ca06204797f38bc01a6727bb","2024-07-30T09:53:01.297974-05:00","cf53cdad-a323-475e-a84a-87b68d13e262","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","b7c4ce7c-bc6a-45a5-94f7-d81bc6e44224","released","37d359b3-d8f5-44cf-8f30-57dfdbbab8c1_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-E2-A15I","TCGA-E2-A15I-01A"
"38","eea8e274-7b23-444d-999d-1741d7a928d2","TSV","TCGA-E2-A109-01A-11R-A10J-07","open","20ef7196-2274-44e1-a105-0761f80c893c.rna_seq.augmented_star_gene_counts.tsv","560d08aa-63c6-4122-8056-1c599a8e7adf","Transcriptome Profiling","gene_expression","Illumina",4249741,"2021-12-13T22:23:46.884624-06:00","d53961c225cef52a1ec4ff227495c03c","2024-07-30T09:18:02.194691-05:00","eea8e274-7b23-444d-999d-1741d7a928d2","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","19763340-9bbd-402f-9bfe-e6287d46abbd","released","20ef7196-2274-44e1-a105-0761f80c893c_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-E2-A109","TCGA-E2-A109-01A"
"40","871d28f4-09d5-4f16-8c29-4aa7d247f3e3","TSV","TCGA-A2-A1G4-01A-11R-A13Q-07","open","ba00c48c-c33e-4dab-beb6-0575ee076dfd.rna_seq.augmented_star_gene_counts.tsv","27994dad-a5b4-481a-8ce0-85dbd614e277","Transcriptome Profiling","gene_expression","Illumina",4252003,"2021-12-13T22:07:18.253030-06:00","915a42e855a0c3a2f05d9de3dd59bded","2024-07-30T09:57:40.043085-05:00","871d28f4-09d5-4f16-8c29-4aa7d247f3e3","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","d8c7fea5-7b49-4fbb-85a0-481d0efdde72","released","ba00c48c-c33e-4dab-beb6-0575ee076dfd_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-A2-A1G4","TCGA-A2-A1G4-01A"
"42","6b62d6dd-bb6f-4f39-9041-992c47b875f3","TSV","TCGA-B6-A0RH-01A-21R-A115-07","open","d1f7678a-8106-46c9-95b7-5ec5d940f08c.rna_seq.augmented_star_gene_counts.tsv","6ab4f450-9e80-4910-a9f6-2c8a2070fc2a","Transcriptome Profiling","gene_expression","Illumina",4244153,"2021-12-13T21:47:40.938551-06:00","cfe98a7dcb3ca5d1a4d25d13f6f5fa4a","2024-07-30T10:07:14.009503-05:00","6b62d6dd-bb6f-4f39-9041-992c47b875f3","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","bb116106-76d9-469d-8afc-78cf24b7eeca","released","d1f7678a-8106-46c9-95b7-5ec5d940f08c_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-B6-A0RH","TCGA-B6-A0RH-01A"
"44","90452523-0f9a-4c14-9d5f-e44f7079fb18","TSV","TCGA-GM-A2DA-01A-11R-A18M-07","open","38387a4f-c65d-4075-8133-fdf259e919ed.rna_seq.augmented_star_gene_counts.tsv","2de7039a-b8cf-465c-8337-e89f564bd424","Transcriptome Profiling","gene_expression","Illumina",4213910,"2021-12-13T21:46:50.903607-06:00","96812a3c2bc4d47d1b261e1573bdeefd","2024-07-30T09:31:28.327991-05:00","90452523-0f9a-4c14-9d5f-e44f7079fb18","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","4d7bfad4-0d5d-4a44-b1a8-a2c110c830a2","released","38387a4f-c65d-4075-8133-fdf259e919ed_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-GM-A2DA","TCGA-GM-A2DA-01A"
"45","9c55de9c-a13e-4772-9a5d-4cde38f75cf3","TSV","TCGA-EW-A1IZ-01A-11R-A13Q-07","open","9899646e-d5be-4429-a7f2-0251bed9721d.rna_seq.augmented_star_gene_counts.tsv","9e510e5e-4ae6-4a67-bc5c-a719e9d5243a","Transcriptome Profiling","gene_expression","Illumina",4240594,"2021-12-13T22:40:39.344582-06:00","4f8e84bf768c4c22ebeee863ad212dc2","2024-07-30T09:23:22.742749-05:00","9c55de9c-a13e-4772-9a5d-4cde38f75cf3","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","cd98d9e3-8c91-4961-83bf-65c6f331aeaa","released","9899646e-d5be-4429-a7f2-0251bed9721d_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Primary Tumor",NA,"TCGA-EW-A1IZ","TCGA-EW-A1IZ-01A"
"46","eddb2dc6-2b72-43a8-a7fc-3dd09dde68af","TSV","TCGA-BH-A1FU-11A-23R-A14D-07","open","316d8a79-9084-4355-9de7-e29503bf0864.rna_seq.augmented_star_gene_counts.tsv","f5255393-b9c0-4088-9b7a-beaa7dc01c36","Transcriptome Profiling","gene_expression","Illumina",4241720,"2021-12-13T21:56:25.110539-06:00","2262a72d5484ad94c64449320a0812a5","2024-07-30T09:44:24.448311-05:00","eddb2dc6-2b72-43a8-a7fc-3dd09dde68af","Gene Expression Quantification","released","RNA-Seq","1","32.0 - 41.0","TCGA-BRCA","2b5d04fc-187d-4597-9ecd-550d533233ec","released","316d8a79-9084-4355-9de7-e29503bf0864_star__counts","https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl","STAR - Counts","5d8c131bbff59fb0c969217fc1d44e6d1503cd1f","Solid Tissue Normal",NA,"TCGA-BH-A1FU","TCGA-BH-A1FU-11A"
